cidade,latitude,longitude
JORDÃO,-9.1905396,-71.9484803
VOTUPORANGA,-20.4252908,-49.972028
ITAPORÃ,-22.0799142,-54.7874239
POCONÉ,-16.2581978,-56.6325633
ITAGUAÍ,-22.81226975,-43.82356297028893
MACAÚBAS,-13.0174846,-42.6882221
APUÍ,-7.1940195,-59.8830192
AMAPÁ,1.3545442,-51.9161977
SIDROLÂNDIA,-20.9361042,-54.9640262
TUPI PAULISTA,-21.3861179,-51.5763259
SÃO JOSÉ DOS PINHAIS,-25.533816,-49.2072163
CASSILÂNDIA,-19.1128242,-51.7345354
CASTANHEIRA,-11.1391946,-58.6088547
ARUANÃ,-14.9162439,-51.0715692
ONÇA DE PITANGUI,-19.73,-44.807222
GUARAPARI,-20.6718755,-40.4984617
ACARÁ,-1.961388,-48.1987043
JEQUITAÍ,-17.2328217,-44.4383463
NOVA XAVANTINA,-14.6794165,-52.351994
BATAYPORÃ,-22.2976466,-53.2685608
MORPARÁ,-11.5628341,-43.2768414
SANTA BÁRBARA,-19.959444,-43.415278
LINS,-21.6741873,-49.7518932
NOVO HORIZONTE,-21.4674564,-49.2235377
MORADA NOVA DE MINAS,-18.6024892,-45.3513867
PIRAQUARA,-25.4423273,-49.0604473
TERESÓPOLIS,-22.4164578,-42.975194
GAVIÃO PEIXOTO,-21.8377536,-48.492853
LEME,-22.1859721,-47.389764
SÃO GABRIEL DO OESTE,-19.29022165,-54.631132237855965
RIACHÃO DAS NEVES,-11.7481049,-44.9109851
TOMBOS,-20.9083753,-42.0270243
MUNDO NOVO,-11.8573859,-40.4731656
ARAPOTI,-24.1457957,-49.8224605
ARACAJU,-10.9162061,-37.0774655
BARÃO DE MELGAÇO,-16.195776,-55.9668049
IVINHEMA,-22.302254,-53.8276006
MONTENEGRO,-12.6998188,-38.3260762
SÃO MANUEL,-22.732081,-48.572316
RESENDE,-22.441869850000003,-44.42048471183837
ANÁPOLIS,-16.3332828,-48.9525756
